#separator:tab
#html:false
pantaloni pan-ta-ló-ni	trousers   Per essempio: I pantaloni sono blu. (The trousers are blue.)  pronuncia: пантало́ни
sedie sè-die	chairs   Per essempio: Le sedie sono in cucina. (The chairs are in the kitchen.)  pronuncia: се́дие
borsa bór-sa	bag   Per essempio: La borsa e' sul tavolo. (The bag is on the table.)  pronuncia: бо́рса
a che ora a che ó-ra	at what time   Per essempio: Voi a che ora mangiate? (What time do you eat?)  pronuncia: а ке о́ра
prendere prèn-de-re	to take   Per essempio: Prendo l'autobus ogni mattina. (I take the autobus every morning.)  pronuncia: пре́ндере
moglie mó-glie	wife   Per essempio: Mia moglia lavora in ospedale. (My wife works in a hospital.)  pronuncia: мо́лье
cercare cer-cà-re	to look for / to search for   Per essempio: Cerco le chiavi. (I am looking for the keys.)  pronuncia: черка́ре
guardare guar-dà-re	to watch / to look at   Per essempio: Guardo un film la sera. (I watch a movie in the evening.)  pronuncia: гуарда́ре
lavare la-và-re	to wash   Per essempio: Lavo i piatti dopo cena. (I wash the dishes after dinner.)  pronuncia: лава́ре
piatto piàt-to	plate / dish   Per essempio: Lavo i piatti dopo cena. (I wash the dishes after dinner.)  pronuncia: пья́тто
chiedere chiè-de-re	to ask   Per essempio: Posso chiadere una domanda? (May I ask a question?)  pronuncia: кье́дере
carne càr-ne	meat   Per essempio: A cena mangiamo carne. (We eat meat for dinner.)  pronuncia: ка́рне
se no se nò	otherwise / if not   Per essempio: Studia, se no superi l'esame. (Study, otherwise you won't pass the exam.)  pronuncia: се но́
ghiaccio ghiàc-cio	ice   Per essempio: Metto il ghiacco nella bibita. (I put the ice in the drink.)  pronuncia: гья́ччо
tornare tor-nà-re	to return / to come back   Per essempio: Torno a casa alle sei. (I return home at six.)  pronuncia:торна́ре
pulire pu-lì-re	to clean   Per essempio: Pulisco la cucina ogni mattina. (I clean the kitchen every morning.)  pronuncia: пули́ре
giocare gio-cà-re	to play   Per essempio: I bambini giocano nel parco. (The children play in the park.)  pronuncia: джока́ре
scoprire sco-prì-re	to discover / to uncover    Per essempio: Scorpo una nuova citta. (I discover a new city.)  pronuncia: скопри́ре
trovare tro-và-re	to find   Per essempio: Trovo le chiavi sul tavolo. (I find the keys on the table.)  pronuncia: трова́ре
comprare com-prà-re	to buy   Per essempio:   Compro il pane ogni mattina. (I buy bread every morning.)  pronuncia: компра́ре
ghiacciolo ghiac-ciò-lo	popsicle / ice pop  Per essempio: Mangio un ghiacciolo al limone. (I eat a lemon ice pop.)  pronuncia: гьяччо́ло
funghi fùn-ghi	mushrooms  Per  essempo: Mi piacciono i funghi sulla pizza. (I like mushrooms on pizza.)  pronuncia: фу́нги
sulla sùl-la	on the (feminine singular)  Per essempio: Il libro e' sulla scrivania. (The book is on the desk.)  pronuncia: су́лла
righe rì-ghe	lines  Per essempio: Scrivi sulle righe. (Write on the lines.)  pronuncia: ри́ге
giaccone giac-có-ne	coat / heavy jacket   Per essempio: In inverno porto un giaccone caldo. (In winter I wear a warm coat.)  pronuncia: джакко́не
ciabatte cia-bàt-te	slippers   per essempio: A casa porto le ciabatte. (At home I wear slippers.)  pronuncia: чаба́тте
giochi giò-chi	games / you play   per essempio: Tu giochi a caldo ogni domenica. (You play  soccer every Sunday.)  pronuncia: джо́ки
olio ò-lio	oil   Per essempio: Metto i'olio sull'insalata. (I put the oil on the salad.)  pronuncia: о́лио
maglietta ma-glièt-ta	T-shirt / shirt   Per essempio: Indosso una maglietta bianca. (I wear a white T-shirt.)  pronuncia: малье́тта
